Office Name,Office Type,Public Phone Number,Public Phone Extension,Street Address Line 1,Street Address Line 2,City,State,Zip Code,Monday Beginning Hours,Monday Ending Hours,Tuesday Beginning Hours,Tuesday Ending Hours,Wednesday Beginning Hours,Wednesday Ending Hours,Thursday Beginning Hours,Thursday Ending Hours,Friday Beginning Hours,Friday Ending Hours,Saturday Beginning Hours,Saturday Ending Hours,Has Kiosk?,Latitude,Longitude,Location
BATH,CO,6077769631,2029,3 East Pulteney Sq,,Bath,NY,14810,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,N,42.333042,-77.316247,"(42.333042, -77.316247)"
BATAVIA,CO,5853442550,2247,15 Main Street,,Batavia,NY,14020,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,N,42.998605,-78.187941,"(42.998605, -78.187941)"
BUFFALO,CO,7168587450,,170 Pearl St. ,Rath Building,Buffalo,NY,14203,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,N,42.884589,-78.875957,"(42.884589, -78.875957)"
BRONX LICENSE CENTER,DO,7189666155,,1350 Commerce Ave,,Bronx,NY,10461,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.837321,-73.840317,"(40.837321, -73.840317)"
MASSAPEQUA,DO,7184774820,,927 Carmans Road,Carmans Plz. Shopping Ctr,Massapequa,NY,11758,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,N,40.700927,-73.431011,"(40.700927, -73.431011)"
COLLEGE POINT,DO,7189666155,,30-56 Whitestone Expwy,,Flushing,NY,11354,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.769937,-73.836601,"(40.769937, -73.836601)"
CHEEKTOWAGA,CO,7168587450,,2122 George Urban Blvd,,Depew,NY,14043,,,10:00 AM,5:45 PM,10:00 AM,5:45 PM,10:00 AM,5:45 PM,9:00 AM,4:45 PM,7:00 AM,1:00 PM,N,42.919785,-78.734883,"(42.919785, -78.734883)"
CLIFTON PARK,CO,5183832480,,22 Clifton Country Center,,Clifton Park,NY,12065,8:00 AM,4:15 PM,8:00 AM,4:15 PM,8:00 AM,4:15 PM,8:00 AM,6:00 PM,8:00 AM,4:15 PM,,,N,42.858472,-73.777742,"(42.858472, -73.777742)"
CANANDAIGUA,CO,5853964210,,20 Ontario Street,,Canandaigua,NY,14424,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,42.889187,-77.280217,"(42.889187, -77.280217)"
CANTON,CO,3153861408,,80 State Highway 310 ,Suite 3,Canton,NY,13617,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,N,44.601774,-75.149204,"(44.601774, -75.149204)"
COOPERSTOWN,CO,6075474281,,197 Main Street,Box 710,Cooperstown,NY,13326,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.701178,-74.929926,"(42.701178, -74.929926)"
BREWSTER,CO,8452782838,,1 Geneva Road,,Brewster,NY,10509,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,41.428313,-73.626621,"(41.428313, -73.626621)"
CORNING,CO,6079367432,,10 W First Street,Suite 100,Corning,NY,14830,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,N,42.14161,-77.055684,"(42.14161, -77.055684)"
CORTLAND,CO,6077535023,,112 River Street,,Cortland,NY,13045,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,42.599261,-76.160802,"(42.599261, -76.160802)"
CATSKILL                                ,CO,5187193280,,411 Main St.,,Catskill,NY,12414,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,42.21999,-73.866403,"(42.21999, -73.866403)"
BROOKLYN - CONEY ISLAND,DO,7189666155,,2875 W. 8th Street,,Brooklyn,NY,11224,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.577894,-73.975507,"(40.577894, -73.975507)"
DELHI,CO,6077462124,,1 Court House Square,Suite 1,Delhi,NY,13753,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.277946,-74.916678,"(42.277946, -74.916678)"
DELEVAN                                 ,CO,7164923750,,1006 North Main St,,Delevan,NY,14042,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,N,42.495305,-78.475275,"(42.495305, -78.475275)"
DANSVILLE,CO,5853356700,,14 Clara Barton St,No. Dansville Town Hall,Dansville,NY,14437,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,,,N,42.559448,-77.695642,"(42.559448, -77.695642)"
DEPOSIT,CO,6074673208,,3 Elm Street,,Deposit,NY,13754,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,N,42.061989,-75.420874,"(42.061989, -75.420874)"
DUNKIRK,CO,7163660210,,3988 Vineyard Drive,,Dunkirk,NY,14048,8:30 AM,5:45 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,N,42.457629,-79.330387,"(42.457629, -79.330387)"
ERIE COUNTY MOBILE,MO,7168587450,,Headquartered at,2122 George Urban Blvd,Depew,NY,14043,,,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,9:00 AM,12:00 PM,N,,,
ELMIRA,CO,6077375470,,425-477 Pennsylvania Ave.,,Elmira,NY,14904,8:30 AM,4:15 PM,8:30 AM,6:00 PM,8:30 AM,4:15 PM,8:30 AM,6:00 PM,8:30 AM,4:15 PM,,,N,42.077915,-76.801595,"(42.077915, -76.801595)"
ELIZABETHTOWN,CO,5188733620,,7559 Court Street,,Elizabethtown,NY,12932,8:15 AM,4:45 PM,8:15 AM,4:45 PM,8:15 AM,4:45 PM,8:15 AM,4:45 PM,8:15 AM,4:45 PM,,,N,44.215217,-73.594261,"(44.215217, -73.594261)"
ENDICOTT,CO,6077782337,,124-132 Washington Avenue,,Endicott,NY,13760,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,1:00 PM,N,42.101329,-76.048428,"(42.101329, -76.048428)"
EVANS,CO,7168587450,,8787 Erie Rd,,Angola,NY,14006,8:00 AM,3:45 PM,8:00 AM,3:45 PM,9:00 AM,4:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,,,N,42.655677,-79.03626,"(42.655677, -79.03626)"
ERIE COUNTY - EASTERN HILLS MALL,CO,7168587450,,6205 Main Street,,Williamsville,NY,14221,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.972952,-78.693062,"(42.972952, -78.693062)"
ERIE COUNTY - EASTERN HILLS MALL,CO,7168587450,,4545 Transit Rd.,,Williamsville,NY,14221,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.972952,-78.693062,"(42.972952, -78.693062)"
ERIE COMMUNITY COLLEGE SOUTH CAMPUS,CO,7168587450,,4041 Southwestern Blvd,Erie County Comm College,Orchard Park,NY,14224,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,N,42.772771,-78.798198,"(42.772771, -78.798198)"
FONDA,CO,5188538126,,64 Broadway ,County Office Building,Fonda,NY,12068,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,,,N,42.957231,-74.380258,"(42.957231, -74.380258)"
FORT DRUM,CO,3157720543,,10720 Mt. Belvedere Blvd.,,Fort Drum,NY,13603,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,,,,,N,44.046095,-75.803951,"(44.046095, -75.803951)"
FORT EDWARD,CO,5187462163,,383 Broadway,,Fort Edward,NY,12828,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,6:00 PM,8:30 AM,4:15 PM,,,N,43.286531,-73.586605,"(43.286531, -73.586605)"
FULTON                                  ,CO,3155919136,,200 North Second Street,,Fulton,NY,13069,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,43.330733,-76.416438,"(43.330733, -76.416438)"
GENESEO,CO,5852437177,,6 Court Street,Room 204,Geneseo,NY,14454,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,6:00 PM,8:00 AM,3:45 PM,,,N,42.802202,-77.816212,"(42.802202, -77.816212)"
GENEVA,CO,5855266257,,83 Seneca Street,,Geneva,NY,14456,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,42.86678,-76.984084,"(42.86678, -76.984084)"
GOUVERNEUR,CO,3152877034,,1227 US Highway 11,,Gouverneur,NY,13642,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,N,44.32465,-75.481562,"(44.32465, -75.481562)"
GREECE,CO,5184869786,,152 Greece Ridge Center ,,Rochester,NY,14626,8:30 AM,4:30 PM,8:30 AM,6:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,43.204861,-77.69635,"(43.204861, -77.69635)"
BETHPAGE,DO,7184774820,,4031 Hempstead Turnpike,,Bethpage,NY,11714-560,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.725931,-73.486672,"(40.725931, -73.486672)"
HARLEM,DO,2126455550,,159 East 125th Street,3rd Floor,New York,NY,10035,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.804276,-73.936584,"(40.804276, -73.936584)"
HERKIMER                                ,CO,3158671130,,109 Mary Street,Suite 1111,Herkimer,NY,13350,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,N,43.028545,-74.988403,"(43.028545, -74.988403)"
HORNELL,CO,6072813605,,12 Allen Street,,Hornell,NY,14843,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,N,42.327363,-77.662725,"(42.327363, -77.662725)"
HUNTINGTON,DO,7184774820,,813 New York Avenue,,Huntington,NY,11743,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.858357,-73.41845,"(40.858357, -73.41845)"
HUDSON                                  ,CO,5188283350,,560 Warren Street,,Hudson,NY,12534,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,6:45 PM,9:00 AM,4:45 PM,,,N,42.248167,-73.784596,"(42.248167, -73.784596)"
IRONDEQUOIT,CO,5184869786,,545 Titus Avenue,,Rochester,NY,14617,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,6:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,43.209954,-77.601855,"(43.209954, -77.601855)"
ITHACA                                  ,CO,6072737187,,301 Third Street,,Ithaca,NY,14850,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,42.447122,-76.504849,"(42.447122, -76.504849)"
JAMAICA,DO,7189666155,,"168-46 91st Ave., 2nd Flr",,Jamaica,NY,11432,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.707399,-73.791969,"(40.707399, -73.791969)"
JAMESTOWN                               ,CO,7166618220,,110 East 4th Street,,Jamestown,NY,14701,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,5:45 PM,8:30 AM,4:15 PM,,,N,42.096571,-79.24062,"(42.096571, -79.24062)"
JOHNSTOWN                               ,CO,5187365571,,223 West Main Street,,Johnstown,NY,12095,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,N,43.006828,-74.374997,"(43.006828, -74.374997)"
KINGSTON,CO,8453403700,,244 Fair Street,,Kingston,NY,12401,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,6:30 PM,8:00 AM,4:45 PM,,,N,41.932704,-74.017723,"(41.932704, -74.017723)"
LOCKPORT                                ,CO,7164384000,,111 Main Street,,Lockport,NY,14095,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:30 PM,9:00 AM,4:30 PM,,,N,43.170694,-78.689603,"(43.170694, -78.689603)"
LAKE GEORGE,CO,5187616438,,1340 State Route 9,,Lake George,NY,12845,8:15 AM,4:30 PM,8:15 AM,4:30 PM,8:15 AM,4:30 PM,8:15 AM,4:30 PM,8:15 AM,4:30 PM,,,N,43.35951,-73.699597,"(43.35951, -73.699597)"
LAKE PLEASANT,CO,5185487111,,Route 8,,Lake Pleasant,NY,12108,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,43.471998,-74.40286,"(43.471998, -74.40286)"
LITTLE VALLEY,CO,7169389111,,303 Court Street,,Little Valley,NY,14755,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,N,42.252378,-78.801248,"(42.252378, -78.801248)"
LOWVILLE                                ,CO,3153765331,,7049 State Route 12,,Lowville,NY,13367,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,43.76784,-75.464877,"(43.76784, -75.464877)"
LYONS,CO,3159467490,,9 Pearl Street,,Lyons,NY,14489,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,43.062833,-76.993358,"(43.062833, -76.993358)"
MILLBROOK,CO,8456774080,,15 Merritt Avenue,,Millbrook,NY,12545,9:00 AM,4:45 PM,???????,???????,9:00 AM,4:45 PM,???????,???????,9:00 AM,4:45 PM,,,N,41.786177,-73.695255,"(41.786177, -73.695255)"
MONROE COUNTY METRO MOBILE OFFICES,MO,5857531604,,Headquartered at,2199 E. Henrietta Rd,Rochester,NY,14623,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,,,N,,,
MONROE COUNTY WESTSIDE MOBILE UNITS,MO,5857531604,,Headquartered at,1940 W. Ridge Rd.,Rochester,NY,14626,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,10:00 AM,3:00 PM,,,N,,,
MONROE COUNTY EASTSIDE MOBILE OFFICE,MO,5857531604,,Headquartered at,545 Titus Ave ,Rochester,NY,14617,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,,,N,,,
MANHATTAN NORTH T V B,TV,7184885710,,159 East 125th Street,"Gotham Plaza, 3rd Floor",New York,NY,10035,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
MIDDLETOWN,CO,8453461180,,12 King Street,,Middletown,NY,10940,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,7:30 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,N,41.445764,-74.420569,"(41.445764, -74.420569)"
MEDFORD,DO,7184774820,,2799 Route 112,Suite 1,Medford,NY,11763,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.824892,-72.993627,"(40.824892, -72.993627)"
MARGARETVILLE,CO,8455862255,,773 Main Street,,Margaretville,NY,12455,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.148522,-74.648651,"(42.148522, -74.648651)"
MALONE,CO,5184811606,,355 West Main Street,Room 107,Malone,NY,12953,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,,,N,44.849339,-74.295329,"(44.849339, -74.295329)"
MANHATTAN SOUTH T V B,TV,7184885710,,2 Washington St,5th Floor,New York,NY,10004,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
MANHATTAN SOUTH T V B,TV,7184885710,,2 Washington St,5th Floor,New York,NY,10004,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
MASSENA                                 ,CO,3157641727,,21 Harrowgate Commons,,Massena,NY,13662,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,44.922173,-74.892206,"(44.922173, -74.892206)"
MONTICELLO,CO,8457943872,,100 North Street,County Government Center,Monticello,NY,12701,8:00 AM,4:30 PM,8:00 AM,4:30 PM,8:00 AM,4:30 PM,8:00 AM,4:30 PM,8:00 AM,4:30 PM,,,N,41.658413,-74.691809,"(41.658413, -74.691809)"
MAYVILLE,CO,7167534229,,7 North Erie Street,,Mayville,NY,14757,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,5:45 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,,,N,42.254474,-79.505236,"(42.254474, -79.505236)"
GARDEN CITY,DO,7184774820,,801 Axinn Avenue,,Garden City,NY,11530,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.740027,-73.607477,"(40.740027, -73.607477)"
NIAGARA FALLS                           ,CO,7162781970,,1001 11th Street,,Niagara Falls,NY,14301,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,N,43.098766,-79.049357,"(43.098766, -79.049357)"
NORWICH                                 ,CO,6073371460,,5 Court Street,Chenango County Building,Norwich,NY,13815,8:30 AM,5:00 PM,8:30 AM,5:00 PM,8:30 AM,5:00 PM,8:30 AM,5:00 PM,8:30 AM,5:00 PM,,,N,42.531935,-75.525911,"(42.531935, -75.525911)"
NORTH TONAWANDA,CO,7167434500,,500 Wheatfield Street,,North Tonawanda,NY,14120,9:00 AM,4:30 PM,9:00 AM,6:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,N,43.038583,-78.866291,"(43.038583, -78.866291)"
NEWBURGH,CO,8455685230,,128 Broadway,,Newburgh,NY,12550,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,7:30 PM,9:00 AM,5:00 PM,,,N,41.500575,-74.012463,"(41.500575, -74.012463)"
MIDTOWN MANHATTAN,DO,7189666155,,366 West 31st Street,,New York,NY,10001,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,N,40.751565,-73.997043,"(40.751565, -73.997043)"
LOWER MANHATTAN - GREENWICH ST.,DO,7189666155,,11 Greenwich Street,,New York,NY,10004,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.705272,-74.014622,"(40.705272, -74.014622)"
ONEIDA COUNTY MOBILE,MO,,,321 Main Street,,Utica,NY,13501,,,,,10:00 AM,2:00 PM,,,,,,,N,,,
OGDENSBURG,CO,3153935386,,206-210 Ford Street,,Ogdensburg,NY,13669,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,N,44.697518,-75.493973,"(44.697518, -75.493973)"
OLEAN,CO,7167013348,,1 Leo Moss Dr.,Suite 1412,Olean,NY,14760,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,N,42.086296,-78.450261,"(42.086296, -78.450261)"
OLD FORGE,CO,3153693301,,183 Park Avenue,,Old Forge,NY,13420,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,43.708734,-74.973902,"(43.708734, -74.973902)"
ONEONTA,CO,6074326832,,16 South Main Street,,Oneonta,NY,13820,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,6:45 PM,9:00 AM,4:45 PM,,,N,42.454799,-75.060242,"(42.454799, -75.060242)"
OSWEGO,CO,3153498300,,384 East River Road,,Oswego,NY,13126,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,43.431512,-76.483322,"(43.431512, -76.483322)"
